Temperature (K)	Pressure (bar)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
250.00	1.0000	48.173	0.020759	3.1098	5.1856	151.15	12.484	20.861	294.48	0.50397	1.9481e-05	0.015277	vapor
250.00	6.0000	290.96	0.0034369	3.0708	5.1329	136.10	12.546	21.240	294.45	0.49718	1.9588e-05	0.015475	vapor
250.00	11.000	536.97	0.0018623	3.0315	5.0800	130.90	12.607	21.630	294.48	0.49024	1.9704e-05	0.015683	vapor
250.00	16.000	786.22	0.0012719	2.9919	5.0269	127.63	12.669	22.032	294.55	0.48314	1.9829e-05	0.015902	vapor
250.00	21.000	1038.7	0.00096273	2.9519	4.9736	125.21	12.730	22.444	294.69	0.47590	1.9964e-05	0.016131	vapor
250.00	26.000	1294.4	0.00077254	2.9115	4.9201	123.28	12.792	22.869	294.88	0.46850	2.0109e-05	0.016372	vapor
250.00	31.000	1553.4	0.00064375	2.8708	4.8665	121.65	12.853	23.304	295.12	0.46095	2.0264e-05	0.016624	vapor
250.00	36.000	1815.5	0.00055080	2.8298	4.8127	120.25	12.913	23.750	295.44	0.45325	2.0430e-05	0.016889	vapor
250.00	41.000	2080.9	0.00048057	2.7885	4.7588	119.00	12.974	24.208	295.81	0.44540	2.0606e-05	0.017165	vapor
250.00	46.000	2349.3	0.00042566	2.7469	4.7049	117.88	13.034	24.675	296.26	0.43741	2.0793e-05	0.017453	vapor
250.00	51.000	2620.8	0.00038157	2.7049	4.6509	116.86	13.093	25.153	296.77	0.42928	2.0992e-05	0.017753	vapor
250.00	56.000	2895.3	0.00034539	2.6627	4.5969	115.92	13.152	25.639	297.36	0.42103	2.1201e-05	0.018066	supercritical
250.00	61.000	3172.6	0.00031520	2.6203	4.5430	115.04	13.211	26.135	298.03	0.41266	2.1422e-05	0.018391	supercritical
250.00	66.000	3452.8	0.00028962	2.5776	4.4891	114.23	13.269	26.638	298.77	0.40417	2.1654e-05	0.018727	supercritical
250.00	71.000	3735.5	0.00026770	2.5347	4.4353	113.45	13.326	27.148	299.60	0.39558	2.1897e-05	0.019076	supercritical
250.00	76.000	4020.9	0.00024870	2.4916	4.3817	112.72	13.382	27.664	300.52	0.38691	2.2151e-05	0.019435	supercritical
250.00	81.000	4308.5	0.00023210	2.4483	4.3283	112.03	13.437	28.184	301.52	0.37815	2.2416e-05	0.019806	supercritical
250.00	86.000	4598.3	0.00021747	2.4049	4.2752	111.37	13.491	28.707	302.61	0.36932	2.2692e-05	0.020187	supercritical
250.00	91.000	4890.1	0.00020449	2.3614	4.2223	110.73	13.545	29.233	303.79	0.36044	2.2978e-05	0.020578	supercritical
250.00	96.000	5183.7	0.00019291	2.3178	4.1698	110.13	13.597	29.758	305.07	0.35152	2.3274e-05	0.020978	supercritical
