Temperature (K)	Pressure (bar)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
161.49	1.0000	74.896	0.013352	1.9988	3.3340	142.01	12.523	21.023	236.21	1.0648	1.3141e-05	0.010295	vapor
161.49	3.5789	272.04	0.0036759	1.9600	3.2756	131.17	12.659	21.666	234.97	1.0582	1.3226e-05	0.010446	vapor
161.49	6.1579	475.29	0.0021040	1.9201	3.2157	126.41	12.801	22.362	233.71	1.0514	1.3319e-05	0.010609	vapor
161.49	8.7368	685.13	0.0014596	1.8791	3.1543	123.24	12.950	23.118	232.44	1.0442	1.3420e-05	0.010786	vapor
161.49	11.316	902.09	0.0011085	1.8368	3.0912	120.82	13.105	23.942	231.16	1.0365	1.3530e-05	0.010978	vapor
161.49	13.895	1126.8	0.00088747	1.7931	3.0262	118.84	13.268	24.845	229.85	1.0283	1.3649e-05	0.011186	vapor
161.49	16.474	1360.0	0.00073532	1.7480	2.9593	117.13	13.439	25.838	228.53	1.0197	1.3779e-05	0.011414	vapor
161.49	19.053	1602.4	0.00062407	1.7013	2.8903	115.63	13.620	26.935	227.19	1.0104	1.3920e-05	0.011664	vapor
161.49	21.632	1855.0	0.00053909	1.6528	2.8189	114.26	13.810	28.154	225.83	1.0004	1.4075e-05	0.011939	vapor
161.49	24.211	2118.9	0.00047195	1.6023	2.7449	112.99	14.012	29.518	224.45	0.98964	1.4244e-05	0.012242	vapor
161.49	26.789	2395.3	0.00041748	1.5497	2.6681	111.81	14.226	31.052	223.05	0.97802	1.4430e-05	0.012579	vapor
161.49	29.368	2685.9	0.00037232	1.4948	2.5882	110.69	14.454	32.790	221.63	0.96543	1.4634e-05	0.012954	vapor
161.49	31.947	2992.3	0.00033419	1.4371	2.5047	109.61	14.697	34.777	220.19	0.95173	1.4858e-05	0.013375	vapor
161.49	34.526	3316.9	0.00030149	1.3764	2.4173	108.56	14.958	37.069	218.72	0.93677	1.5107e-05	0.013848	vapor
161.49	37.105	3662.2	0.00027306	1.3122	2.3254	107.53	15.240	39.740	217.23	0.92037	1.5384e-05	0.014385	vapor
161.49	39.684	4031.6	0.00024804	1.2441	2.2284	106.51	15.544	42.890	215.72	0.90231	1.5692e-05	0.014997	vapor
161.49	42.263	4429.3	0.00022577	1.1713	2.1255	105.50	15.876	46.655	214.18	0.88232	1.6039e-05	0.015701	vapor
161.49	44.842	4860.8	0.00020573	1.0932	2.0157	104.47	16.239	51.226	212.62	0.86009	1.6430e-05	0.016517	vapor
161.49	47.421	5333.0	0.00018751	1.0086	1.8978	103.43	16.638	56.875	211.04	0.83521	1.6877e-05	0.017472	vapor
161.49	50.000	5855.4	0.00017078	0.91619	1.7701	102.35	17.080	64.000	209.45	0.80718	1.7393e-05	0.018602	vapor
